,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
2733,Douglas Correia de Souza,BRA,male,1995-08-20,1.99,75.0,volleyball,1,0,0,1,1995,21
2734,Douglas John Erasmus,RSA,male,1990-04-04,1.82,78.0,aquatics,0,0,0,0,1990,26
2735,Douglas Santos,BRA,male,1994-03-22,1.73,69.0,football,1,0,0,1,1994,22
2736,Dovydas Nemeravicius,LTU,male,1996-12-11,1.93,98.0,rowing,0,0,0,0,1996,20
2737,Dragana Stankovic,SRB,female,1995-01-18,1.95,73.0,basketball,0,0,1,1,1995,21
2738,Dragana Tomasevic,SRB,female,1982-06-04,1.75,80.0,athletics,0,0,0,0,1982,34
2739,Drasko Brguljan,MNE,male,1984-12-27,1.94,92.0,aquatics,0,0,0,0,1984,32
2740,Draymond Green,USA,male,1990-03-04,2.0,104.0,basketball,1,0,0,1,1990,26
2741,Driss Lahrichi,MAR,male,1997-12-02,1.9,83.0,aquatics,0,0,0,0,1997,19
2742,Drita Islami,MKD,female,1996-08-01,1.66,56.0,athletics,0,0,0,0,1996,20
2743,Duanbin Ma,CHN,male,1990-03-28,1.74,66.0,judo,0,0,0,0,1990,26
2744,Duane da Rocha Marce,ESP,female,1988-01-07,1.8,59.0,aquatics,0,0,0,0,1988,28
2745,Dudi Sela,ISR,male,1985-04-04,1.75,67.0,tennis,0,0,0,0,1985,31
2746,Dulguun Batsaikhan,MGL,male,1986-10-26,1.79,72.0,aquatics,0,0,0,0,1986,30
2747,Dumitru Captari,ROU,male,1989-07-12,1.68,77.0,weightlifting,0,0,0,0,1989,27
2748,Duncan Scott,GBR,male,1997-05-06,1.91,74.0,aquatics,0,2,0,2,1997,19
2749,Dunhan Xiong,CHN,female,1998-11-11,1.81,83.0,aquatics,0,0,0,0,1998,18
2750,Duo Shen,CHN,female,1997-06-09,1.81,74.0,aquatics,0,0,0,0,1997,19
2751,Duobujie,CHN,male,1994-02-16,1.75,55.0,athletics,0,0,0,0,1994,22
2752,Durdina Jaukovic,MNE,female,1997-02-24,1.86,86.0,handball,0,0,0,0,1997,19
2753,Dusan Majdan,SVK,male,1987-09-08,1.8,67.0,athletics,0,0,0,0,1987,29
2754,Dusan Mandic,SRB,male,1994-06-16,2.02,105.0,aquatics,1,0,0,1,1994,22
2755,Dusko Pijetlovic,SRB,male,1985-04-25,1.97,97.0,aquatics,1,0,0,1,1985,31
2756,Dustin Brown,GER,male,1984-12-08,1.96,78.0,tennis,0,0,0,0,1984,32
2757,Dustin Tynes,BAH,male,1996-03-07,1.85,75.0,aquatics,0,0,0,0,1996,20
2758,Dutee Chand,IND,female,1996-02-03,1.6,50.0,athletics,0,0,0,0,1996,20
2759,Duygu Aynaci,TUR,female,1996-06-26,1.7,69.0,weightlifting,0,0,0,0,1996,20
2760,Dwight Lewis,VEN,male,1987-10-07,1.98,73.5,basketball,0,0,0,0,1987,29
2761,Dylan Borlee,BEL,male,1992-09-20,1.9,78.0,athletics,0,0,0,0,1992,24
2762,Dylan Bosch,RSA,male,1993-07-17,1.78,75.0,aquatics,0,0,0,0,1993,23
2763,Dylan Carter,TTO,male,1996-01-30,1.77,76.5,aquatics,0,0,0,0,1996,20
2764,Dylan Fletcher-Scott,GBR,male,1988-04-03,1.76,78.0,sailing,0,0,0,0,1988,28
2765,Dylan Kennett,NZL,male,1994-12-08,1.78,75.0,cycling,0,0,0,0,1994,22
2766,Dylan Sage,RSA,male,1992-01-24,1.88,96.0,rugby sevens,0,0,1,1,1992,24
2767,Dylan Schmidt,NZL,male,1997-01-07,1.69,69.0,gymnastics,0,0,0,0,1997,19
2768,Dzianis Mihal,BLR,male,1985-10-05,1.97,102.0,rowing,0,0,0,0,1985,31
2769,Dzianis Simanovich,BLR,male,1987-04-20,1.78,64.0,athletics,0,0,0,0,1987,29
2770,Dzmitry Asanau,BLR,male,1996-05-18,1.76,66.5,boxing,0,0,0,0,1996,20
2771,Dzmitry Nabokau,BLR,male,1996-01-20,1.86,69.0,athletics,0,0,0,0,1996,20
2772,Dzmitry Platnitski,BLR,male,1988-08-26,1.91,83.0,athletics,0,0,0,0,1988,28
2773,Dzmitry Shershan,BLR,male,1988-12-28,1.7,66.0,judo,0,0,0,0,1988,28
2774,Dzsenifer Marozsan,GER,female,1992-04-18,1.71,55.0,football,1,0,0,1,1992,24
2775,Earvin Ngapeth,FRA,male,1991-02-12,1.94,101.0,volleyball,0,0,0,0,1991,25
2776,Ebi Ere,NGR,male,1981-08-03,1.96,97.0,basketball,0,0,0,0,1981,35
2777,Ebtissam Mohamed,EGY,female,1996-09-25,1.63,54.0,cycling,0,0,0,0,1996,20
2778,Ecaterina Guica,CAN,female,1993-10-09,1.65,52.0,judo,0,0,0,0,1993,23
2779,Ed Jenkins,AUS,male,1986-05-26,1.84,96.0,rugby sevens,0,0,0,0,1986,30
2780,Eddie Lovett,ISV,male,1992-06-25,1.8,73.0,athletics,0,0,0,0,1992,24
2781,Eddy Yusof,SUI,male,1994-10-02,1.65,63.0,gymnastics,0,0,0,0,1994,22
2782,Edel R. Amores,CUB,male,1998-10-05,1.81,72.0,athletics,0,0,0,0,1998,18
2783,Eder Antonio Souza,BRA,male,1986-10-15,1.89,89.0,athletics,0,0,0,0,1986,30
2784,Eder Carbonera,BRA,male,1983-10-19,2.05,107.0,volleyball,1,0,0,1,1983,33
2785,Edgar Contreras,VEN,male,1992-07-16,1.78,67.0,taekwondo,0,0,0,0,1992,24
2786,Edgar Crespo,PAN,male,1989-05-11,1.78,83.0,aquatics,0,0,0,0,1989,27
