,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
5634,Kelsey Wakefield,AUS,female,1991-06-01,1.78,64.0,aquatics,0,0,0,0,1991,25
5635,Kelsey-Lee Roberts,AUS,female,1991-09-20,1.75,70.0,athletics,0,0,0,0,1991,25
5636,Kelsi Worrell,USA,female,1994-07-15,1.81,74.0,aquatics,1,0,0,1,1994,22
5637,Kelsie Ahbe,CAN,female,1991-07-06,1.7,63.0,athletics,0,0,0,0,1991,25
5638,Kelvin Cana Infante,VEN,male,1987-08-06,1.73,72.0,fencing,0,0,0,0,1987,29
5639,Kemal Mesic,BIH,male,1985-08-04,1.96,120.0,athletics,0,0,0,0,1985,31
5640,Kemar Bailey-Cole,JAM,male,1992-01-10,1.93,84.0,athletics,1,0,0,1,1992,24
5641,Kemar Hyman,CAY,male,1989-10-11,1.78,74.0,athletics,0,0,0,0,1989,27
5642,Kemarley Brown,BRN,male,1992-07-20,1.82,85.0,athletics,0,0,0,0,1992,24
5643,Kemoy Campbell,JAM,male,1991-01-14,1.68,57.0,athletics,0,0,0,0,1991,25
5644,Ken Sema,SWE,male,1993-09-30,1.8,69.0,football,0,0,0,0,1993,23
5645,Ken Terauchi,JPN,male,1980-08-07,1.7,70.0,aquatics,0,0,0,0,1980,36
5646,Ken Wallace,AUS,male,1983-07-26,1.9,90.0,canoe,0,0,1,1,1983,33
5647,Kendell Williams,USA,female,1995-06-14,1.78,67.0,athletics,0,0,0,0,1995,21
5648,Kendra Clarke,CAN,female,1996-11-16,1.67,56.0,athletics,0,0,0,0,1996,20
5649,Kendrick James Farris,USA,male,1986-07-02,1.68,93.0,weightlifting,0,0,0,0,1986,30
5650,Kenia Lechuga Alanis,MEX,female,1994-06-26,1.62,59.0,rowing,0,0,0,0,1994,22
5651,Kenia Sinclair,JAM,female,1980-07-14,1.7,58.0,athletics,0,0,0,0,1980,36
5652,Kenichi Hayakawa,JPN,male,1986-04-05,1.77,80.0,badminton,0,0,0,0,1986,30
5653,Kenji Fujimitsu,JPN,male,1986-05-01,1.82,69.0,athletics,0,0,0,0,1986,30
5654,Kenji Kobase,JPN,male,1987-07-31,1.8,80.0,aquatics,0,0,0,0,1987,29
5655,Kenji Takahashi,JPN,male,1982-08-21,1.86,77.0,sailing,0,0,0,0,1982,34
5656,Kenki Fukuoka,JPN,male,1992-09-07,1.76,85.0,rugby sevens,0,0,0,0,1992,24
5657,Kennedy Goss,CAN,female,1996-08-19,1.73,74.0,aquatics,0,0,1,1,1996,20
5658,Kennedy Katende,UGA,male,1985-03-15,1.76,71.0,boxing,0,0,0,0,1985,31
5659,Kennedy St Pierre,MRI,male,1992-10-23,1.8,68.0,boxing,0,0,0,0,1992,24
5660,Kent Farrington,USA,male,1980-12-28,1.73,65.0,equestrian,0,1,0,1,1980,36
5661,Kenta Kazuno,JPN,male,1985-11-25,1.71,68.0,badminton,0,0,0,0,1985,31
5662,Kenta Tokunan,JPN,male,1987-08-17,1.83,83.0,fencing,0,0,0,0,1987,29
5663,Kentaro Sato,JPN,male,1994-11-16,1.74,64.0,athletics,0,0,0,0,1994,22
5664,Kentin Mahe,FRA,male,1991-05-22,1.86,83.0,handball,0,1,0,1,1991,25
5665,Kenya Yasuda,JPN,male,1989-03-29,1.82,77.0,aquatics,0,0,0,0,1989,27
5666,Kenza Dahmani Tifahi,ALG,female,1980-11-18,1.64,54.0,athletics,0,0,0,0,1980,36
5667,Kenza Dali,FRA,female,1991-07-31,1.65,60.0,football,0,0,0,0,1991,25
5668,Kenzo Shirai,JPN,male,1996-08-24,1.62,51.0,gymnastics,1,0,1,2,1996,20
5669,Keren Siebner,ISR,female,1990-06-09,1.8,68.0,aquatics,0,0,0,0,1990,26
5670,Keri-Anne Payne,GBR,female,1987-12-09,1.77,66.0,aquatics,0,0,0,0,1987,29
5671,Kerri Gowler,NZL,female,1993-12-18,1.82,76.0,rowing,0,0,0,0,1993,23
5672,Kerri Walsh Jennings,USA,female,1978-08-15,1.88,72.0,volleyball,0,0,1,1,1978,38
5673,Kerron Clement,USA,male,1985-10-31,1.88,86.0,athletics,1,0,0,1,1985,31
5674,Kerry Hore,AUS,female,1981-07-03,1.83,74.0,rowing,0,0,0,0,1981,35
5675,Kerry O'Flaherty,IRL,female,1981-07-15,1.67,53.0,athletics,0,0,0,0,1981,35
5676,Kerry Simmonds,USA,female,1989-04-03,1.83,81.0,rowing,1,0,0,1,1989,27
5677,Kersten Thiele,GER,male,1992-09-29,1.79,75.0,cycling,0,0,0,0,1992,24
5678,Kerstin Hartmann,GER,female,1988-06-14,1.77,70.0,rowing,0,0,0,0,1988,28
5679,Keryn McMaster,AUS,female,1993-09-19,1.69,63.0,aquatics,0,0,0,0,1993,23
5680,Keshorn Walcott,TTO,male,1993-04-02,1.83,90.0,athletics,0,0,1,1,1993,23
5681,Keston Bledman,TTO,male,1998-03-08,1.8,88.0,athletics,0,0,0,0,1998,18
5682,Ketija Birzule,LAT,female,1998-10-30,1.64,60.0,sailing,0,0,0,0,1998,18
5683,Keturah Orji,USA,female,1996-03-05,1.66,61.0,athletics,0,0,0,0,1996,20
5684,Kevin Alvarez,HON,male,1996-08-03,1.81,76.0,football,0,0,0,0,1996,20
5685,Kevin Balanta,COL,male,1997-04-28,1.83,77.0,football,0,0,0,0,1997,19
5686,Kevin Borlee,BEL,male,1988-02-22,1.8,67.0,athletics,0,0,0,0,1988,28
5687,Kevin Bouly,FRA,male,1981-04-26,1.77,94.0,weightlifting,0,0,0,0,1981,35
5688,Kevin Campion,FRA,male,1988-05-23,1.83,63.0,athletics,0,0,0,0,1988,28
5689,Kevin Chavez Banda,AUS,male,1992-07-09,1.7,70.0,aquatics,0,0,0,0,1992,24
5690,Kevin Cordes,USA,male,1993-08-13,2.21,88.0,aquatics,1,0,0,1,1993,23
5691,Kevin Cordon,GUA,male,1986-11-28,1.8,80.0,badminton,0,0,0,0,1986,30
5692,Kevin Crovetto,MON,male,1992-06-10,1.83,81.0,gymnastics,0,0,0,0,1992,24
5693,Kevin Durant,USA,male,1988-09-29,2.05,104.0,basketball,1,0,0,1,1988,28
5694,Kevin Lisch,AUS,male,1986-05-16,1.88,89.0,basketball,0,0,0,0,1986,30
5695,Kevin Lopez,HON,male,1996-02-03,1.7,69.0,football,0,0,0,0,1996,20
5696,Kevin Lopez,ESP,male,1990-06-12,1.71,56.0,athletics,0,0,0,0,1990,26
5697,Kevin Mayer,FRA,male,1992-02-10,1.86,77.0,athletics,0,1,0,1,1992,24
5698,Kevin Menaldo,FRA,male,1992-07-12,1.76,66.0,athletics,0,0,0,0,1992,24
5699,Kevin Seaward,IRL,male,1983-10-03,1.75,59.0,athletics,0,0,0,0,1983,33
5700,Kevin Staut,FRA,male,1980-11-15,1.82,70.0,equestrian,1,0,0,1,1980,36
5701,Kevin Tillie,FRA,male,1990-11-02,2.0,85.0,volleyball,0,0,0,0,1990,26
5702,Kevin le Roux,FRA,male,1989-05-11,2.09,98.0,volleyball,0,0,0,0,1989,27
5703,Keyuan Shang,CHN,male,1995-02-04,1.83,79.0,aquatics,0,0,0,0,1995,21
5704,Khaddi Sagnia,SWE,female,1994-04-20,1.73,64.0,athletics,0,0,0,0,1994,22
5705,Khader Ghetrich Baqlah,JOR,male,1998-09-15,1.84,80.0,aquatics,0,0,0,0,1998,18
5706,Khadija Krimi,TUN,female,1995-08-18,1.71,57.0,rowing,0,0,0,0,1995,21
5707,Khadija Mardi,MAR,female,1991-02-01,1.83,66.0,boxing,0,0,0,0,1991,25
5708,Khairul Anuar Mohamad,MAS,male,1991-09-22,1.71,75.0,archery,0,0,0,0,1991,25
5709,Khairulnizam Mohd Afendy,MAS,male,1993-05-27,1.82,81.0,sailing,0,0,0,0,1993,23
5710,Khaled Alkaabi,UAE,male,1985-06-25,1.68,85.0,shooting,0,0,0,0,1985,31
5711,Khaled Almudhaf,IOA,male,1978-06-12,1.63,105.0,shooting,0,0,0,0,1978,38
5712,Khaled Haj Youssef,TUN,male,1989-01-12,1.89,92.0,handball,0,0,0,0,1989,27
5713,Khaled Houcine,TUN,male,1990-07-19,1.87,90.0,canoe,0,0,0,0,1990,26
5714,Khalid Assar,EGY,male,1992-12-10,1.98,99.0,table tennis,0,0,0,0,1992,24
5715,Khalid El Aabidi,MAR,male,1995-09-14,1.78,81.0,weightlifting,0,0,0,0,1995,21
5716,Khalifa St Fort,TTO,female,1998-02-13,1.65,50.0,athletics,0,0,0,0,1998,18
5717,Khamica Bingham,CAN,female,1994-06-15,1.6,60.0,athletics,0,0,0,0,1994,22
5718,Khasan Khalmurzaev,RUS,male,1993-10-09,1.82,81.0,judo,1,0,0,1,1993,23
5719,Khaterinne Medina,COL,female,1992-10-31,1.62,60.0,rugby sevens,0,0,0,0,1992,24
5720,Khatuna Narimanidze,GEO,female,1974-02-02,1.75,79.0,archery,0,0,0,0,1974,42
5721,Khe Wei Woon,MAS,female,1989-03-18,1.74,63.0,badminton,0,0,0,0,1989,27
5722,Kheira Hamraoui,FRA,female,1990-01-13,1.79,69.0,football,0,0,0,0,1990,26
5723,Kheta Ram,IND,male,1986-09-20,1.69,53.0,athletics,0,0,0,0,1986,30
5724,Khetag Goziumov,AZE,male,1983-04-24,1.8,97.0,wrestling,0,1,0,1,1983,33
5725,Khrystyna Stuy,UKR,female,1988-02-03,1.68,60.0,athletics,0,0,0,0,1988,28
5726,Khuderbulga Dorjkhand,MGL,male,1992-05-07,1.81,102.0,wrestling,0,0,0,0,1992,24
5727,Khushbir Kaur,IND,female,1993-07-09,1.815,85.0,athletics,0,0,0,0,1993,23
5728,Kia Nurse,CAN,female,1996-02-22,1.82,68.0,basketball,0,0,0,0,1996,20
5729,Kiana Eide,USA,female,1998-09-25,1.61,53.0,gymnastics,0,0,0,0,1998,18
5730,Kianoush Rostami,IRI,male,1991-07-23,1.77,84.0,weightlifting,1,0,0,1,1991,25
5731,Kibwe Johnson,USA,male,1981-07-17,1.88,102.0,athletics,0,0,0,0,1981,35
5732,Kieran Behan,IRL,male,1989-04-19,1.63,65.0,gymnastics,0,0,0,0,1989,27
5733,Kierra Smith,CAN,female,1994-02-01,1.5,57.0,aquatics,0,0,0,0,1994,22
5734,Kierre Beckles,BAR,female,1990-05-21,1.76,61.0,athletics,0,0,0,0,1990,26
5735,Kiichi Harada,JPN,male,1972-11-30,1.75,73.0,equestrian,0,0,0,0,1972,44
5736,Kiju Park,KOR,female,1990-02-14,1.67,69.0,hockey,0,0,0,0,1990,26
5737,Kiki Bertens,NED,female,1991-12-10,1.82,78.0,tennis,0,0,0,0,1991,25
5738,Kiko Yokota,JPN,female,1997-05-11,1.61,44.0,gymnastics,0,0,0,0,1997,19
5739,Kiley Neushul,USA,female,1993-03-05,1.73,65.0,aquatics,1,0,0,1,1993,23
5740,Kilian le Blouch,FRA,male,1989-10-07,1.71,70.0,judo,0,0,0,0,1989,27
5741,Kim Amb,SWE,male,1990-07-31,1.8,87.0,athletics,0,0,0,0,1990,26
5742,Kim Andersson,SWE,male,1982-08-21,2.0,105.0,handball,0,0,0,0,1982,34
5743,Kim Bui,GER,female,1989-01-20,1.56,49.0,gymnastics,0,0,0,0,1989,27
5744,Kim Collins,SKN,male,1976-04-05,1.8,77.0,athletics,0,0,0,0,1976,40
5745,Kim Conley,USA,female,1986-03-14,1.61,49.0,athletics,0,0,0,0,1986,30
5746,Kim Gaucher,CAN,female,1984-05-07,1.85,72.0,basketball,0,0,0,0,1984,32
5747,Kim Mickle,AUS,female,1984-12-28,1.68,70.0,athletics,0,0,0,0,1984,32
5748,Kim Polling,NED,female,1991-02-08,1.75,70.0,judo,0,0,0,0,1991,25
5749,Kim Tillie,FRA,male,1988-07-15,2.11,105.0,basketball,0,0,0,0,1988,28
5750,Kim Tuan Thach,VIE,male,1994-01-15,1.6,56.0,weightlifting,0,0,0,0,1994,22
5751,Kimberley Brennan,AUS,female,1985-08-09,1.88,74.0,rowing,1,0,0,1,1985,31
5752,Kimberly Buys,BEL,female,1989-04-23,1.87,75.0,aquatics,0,0,0,0,1989,27
5753,Kimberly Garcia,PER,female,1993-10-19,1.64,51.0,athletics,0,0,0,0,1993,23
5754,Kimberly Hill,USA,female,1989-11-30,1.93,72.0,volleyball,0,0,1,1,1989,27
5755,Kimberly Hyacinthe,CAN,female,1989-03-28,1.79,65.0,athletics,0,0,0,0,1989,27
5756,Kimberly Rhode,USA,female,1979-07-16,1.63,83.0,shooting,0,0,1,1,1979,37
5757,Kimberly Williams,JAM,female,1988-11-03,1.78,62.0,athletics,0,0,0,0,1988,28
5758,Kimia Alizadeh Zenoorin,IRI,female,1998-07-10,1.85,62.0,taekwondo,0,0,1,1,1998,18
5759,Kimihiko Imamura,JPN,male,1984-02-03,1.8,78.0,sailing,0,0,0,0,1984,32
5760,Kimiko Raheem,SRI,female,1999-01-28,1.65,51.0,aquatics,0,0,0,0,1999,17
5761,Kineke Alexander,VIN,female,1986-02-21,1.78,65.0,athletics,0,0,0,0,1986,30
5762,King Lok Cheung,HKG,male,1991-02-08,1.72,77.0,cycling,0,0,0,0,1991,25
5763,Kinga Kolosinska,POL,female,1990-06-02,1.79,67.0,volleyball,0,0,0,0,1990,26
5764,Kingsley Madu,NGR,male,1995-12-12,1.71,78.5,football,0,0,1,1,1995,21
5765,Kiplangat Sang,KEN,male,1981-04-14,1.75,90.0,judo,0,0,0,0,1981,35
5766,Kira Stepanova,RUS,female,1993-11-12,1.745,81.0,canoe,0,0,0,0,1993,23
5767,Kira Toussaint,NED,female,1994-05-22,1.74,72.0,aquatics,0,0,0,0,1994,22
5768,Kira Walkenhorst,GER,female,1990-11-18,1.85,75.0,volleyball,1,0,0,1,1990,26
5769,Kiradech Aphibarnrat,THA,male,1989-07-23,1.72,106.0,golf,0,0,0,0,1989,27
5770,Kirani James,GRN,male,1992-09-01,1.77,66.0,athletics,0,1,0,1,1992,24
5771,Kirill Denisov,RUS,male,1988-01-25,1.82,90.0,judo,0,0,0,0,1988,28
5772,Kirill Gerassimenko,KAZ,male,1996-12-18,1.75,64.0,table tennis,0,0,0,0,1996,20
5773,Kirill Grigoryan,RUS,male,1992-04-02,1.79,88.0,shooting,0,0,1,1,1992,24
5774,Kirill Lyapunov,RUS,male,1986-03-24,1.8,81.0,canoe,0,0,0,0,1986,30
5775,Kirill Prigoda,RUS,male,1995-12-29,1.92,88.0,aquatics,0,0,0,0,1995,21
5776,Kirk Shimmins,IRL,male,1994-06-01,1.75,68.0,hockey,0,0,0,0,1994,22
5777,Kirsten Flipkens,BEL,female,1986-01-10,1.65,59.0,tennis,0,0,0,0,1986,30
5778,Kirsten McCANN,RSA,female,1988-08-25,1.7,57.0,rowing,0,0,0,0,1988,28
5779,Kirsten Pearce,NZL,female,1991-04-10,1.62,58.0,hockey,0,0,0,0,1991,25
5780,Kirsten Sweetland,CAN,female,1988-09-24,1.63,49.0,triathlon,0,0,0,0,1988,28
5781,Kirsten Wild,NED,female,1982-10-15,1.78,78.0,cycling,0,0,0,0,1982,34
5782,Kirsti Lay,CAN,female,1988-04-07,1.73,65.0,cycling,0,0,1,1,1988,28
5783,Kirstie Elaine Alora,PHI,female,1989-11-25,1.73,67.0,taekwondo,0,0,0,0,1989,27
5784,Kirstin Dwyer,AUS,female,1989-03-15,1.73,66.0,hockey,0,0,0,0,1989,27
5785,Kirsty Gilmour,GBR,female,1993-09-21,1.68,65.0,badminton,0,0,0,0,1993,23
5786,Kirsty Leigh Coventry,ZIM,female,1983-09-16,1.76,64.0,aquatics,0,0,0,0,1983,33
5787,Kirsty Yallop,NZL,female,1986-11-04,1.65,58.0,football,0,0,0,0,1986,30
5788,Kit-Ching Yiu,HKG,female,1988-02-20,1.55,45.0,athletics,0,0,0,0,1988,28
5789,Kitione Taliga,FIJ,male,1993-04-21,1.86,87.0,rugby sevens,1,0,0,1,1993,23
5790,Kitty King,GBR,female,1982-08-10,1.58,60.0,equestrian,0,0,0,0,1982,34
5791,Kitty van Male,NED,female,1988-06-05,1.96,63.0,hockey,0,1,0,1,1988,28
5792,Kivilcim Kaya Salman,TUR,female,1992-03-27,1.66,85.0,athletics,0,0,0,0,1992,24
5793,Kjetil Borch,NOR,male,1990-02-14,1.67,69.0,rowing,0,0,1,1,1990,26
5794,Klara Spilkova,CZE,female,1994-12-15,1.68,53.0,golf,0,0,0,0,1994,22
5795,Klaudia Bres,POL,female,1994-06-22,1.58,52.0,shooting,0,0,0,0,1994,22
5796,Klaudia Jans-Ignacik,POL,female,1984-09-24,1.6400000000000001,54.5,tennis,0,0,0,0,1984,32
5797,Klaudia Konopko,POL,female,1992-02-21,1.7,57.0,athletics,0,0,0,0,1992,24
5798,Klaus Lange,ARG,male,1995-01-13,1.82,81.0,sailing,0,0,0,0,1995,21
5799,Klay Thompson,USA,male,1990-02-08,2.0,97.0,basketball,1,0,0,1,1990,26
5800,Kleber da Silva Ramos,BRA,male,1985-08-24,1.67,65.0,cycling,0,0,0,0,1985,31
5801,Kleberson Davide,BRA,male,1985-07-20,1.75,69.0,athletics,0,0,0,0,1985,31
5802,Kodo Nakano,PHI,male,1993-03-08,1.7850000000000001,81.0,judo,0,0,0,0,1993,23
5803,Koen Naert,BEL,male,1989-09-03,1.82,66.0,athletics,0,0,0,0,1989,27
5804,Kohei Uchima,JPN,male,1988-11-08,1.7,60.0,cycling,0,0,0,0,1988,28
5805,Kohei Uchimura,JPN,male,1989-01-02,1.62,52.0,gymnastics,2,0,0,2,1989,27
5806,Kohei Yamamoto,JPN,male,1985-08-20,1.82,69.0,cycling,0,0,0,0,1985,31
5807,Kohei Yamashita,JPN,male,1994-09-06,1.79,69.0,athletics,0,0,0,0,1994,22
5808,Koichiro Morioka,JPN,male,1985-04-02,1.85,69.0,athletics,0,0,0,0,1985,31
5809,Koji Takei,JPN,male,1990-07-30,1.76,78.0,aquatics,0,0,0,0,1990,26
5810,Koji Yamamuro,JPN,male,1989-01-17,1.59,58.0,gymnastics,1,0,0,1,1989,27
5811,Koki Niwa,JPN,male,1994-10-10,1.62,51.0,table tennis,0,1,0,1,1994,22
5812,Koki Saito,JPN,male,1989-09-16,1.76,65.0,equestrian,0,0,0,0,1989,27
5813,Komeil Nemat Ghasemi,IRI,male,1988-02-27,1.86,115.0,wrestling,0,1,0,1,1988,28
5814,Komronshokh Ustopiriyon,TJK,male,1993-01-07,1.82,90.0,judo,0,0,0,0,1993,23
5815,Konomi Kai,JPN,female,1993-07-10,1.53,50.0,athletics,0,0,0,0,1993,23
5816,Konrad Bukowiecki,POL,male,1997-03-17,1.91,138.0,athletics,0,0,0,0,1997,19
5817,Konrad Czerniak,POL,male,1989-07-11,1.95,87.0,aquatics,0,0,0,0,1989,27
5818,Konstadinos Baniotis,GRE,male,1986-11-06,2.01,80.0,athletics,0,0,0,0,1986,30
5819,Konstadinos Douvalidis,GRE,male,1987-03-10,1.81,78.0,athletics,0,0,0,0,1987,29
5820,Konstadinos Filippidis,GRE,male,1986-11-26,1.87,74.0,athletics,0,0,0,0,1986,30
5821,Konstantin Semenov,RUS,male,1989-06-09,2.1,101.0,volleyball,0,0,0,0,1989,27
5822,Konstantinos Flegkas,GRE,male,1988-07-17,1.92,88.0,aquatics,0,0,0,0,1988,28
5823,Konstantinos Genidounias,GRE,male,1993-05-03,1.83,87.0,aquatics,0,0,0,0,1993,23
5824,Konstantinos Mourikis,GRE,male,1988-07-11,1.97,109.0,aquatics,0,0,0,0,1988,28
5825,Konstanze Klosterhalfen,GER,female,1997-02-18,1.74,48.0,athletics,0,0,0,0,1997,19
5826,Korey Jarvis,CAN,male,1986-10-04,1.88,115.0,wrestling,0,0,0,0,1986,30
5827,Kosovare Asllani,SWE,female,1989-07-29,1.66,54.0,football,0,1,0,1,1989,27
5828,Kostyantyn Bakun,RUS,male,1985-03-15,2.04,96.0,volleyball,0,0,0,0,1985,31
5829,Kosuke Hagino,JPN,male,1994-08-15,1.77,71.0,aquatics,1,1,1,3,1994,22
5830,Kosuke Nakamura,JPN,male,1995-02-27,1.84,72.0,football,0,0,0,0,1995,21
5831,Kota Murayama,JPN,male,1993-02-23,1.74,54.0,athletics,0,0,0,0,1993,23
5832,Kothajit Khadangbam,IND,male,1992-08-17,1.7,63.0,hockey,0,0,0,0,1992,24
5833,Kotoki Zayasu,JPN,female,1990-01-11,1.59,57.0,volleyball,0,0,0,0,1990,26
5834,Kotuku Ngawati,AUS,female,1994-06-16,1.65,60.0,aquatics,0,0,0,0,1994,22
5835,Koutar Boulaid,MAR,female,1989-10-10,1.59,45.0,athletics,0,0,0,0,1989,27
5836,Kresimir Kozina,CRO,male,1990-06-25,1.97,105.0,handball,0,0,0,0,1990,26
5837,Krishan Vikas,IND,male,1992-02-10,1.77,79.5,boxing,0,0,0,0,1992,24
5838,Krista Duchene,CAN,female,1977-01-09,1.67,54.0,athletics,0,0,0,0,1977,39
5839,Kristel Kobrich,CHI,female,1985-08-09,1.7,60.0,aquatics,0,0,0,0,1985,31
5840,Kristel Vourna,GRE,female,1992-02-11,1.74,61.0,aquatics,0,0,0,0,1992,24
5841,Kristen Shaldybin,USA,female,1997-08-08,1.76,56.0,gymnastics,0,0,0,0,1997,19
5842,Kristi Castlin,USA,female,1988-07-07,1.71,60.0,athletics,0,0,1,1,1988,28
5843,Kristian Blummenfelt,NOR,male,1994-02-14,1.705,59.5,triathlon,0,0,0,0,1994,22
5844,Kristian Fris,SRB,male,1984-04-21,1.7,59.0,wrestling,0,0,0,0,1984,32
5845,Kristian Gkolomeev,GRE,male,1993-07-04,2.02,95.0,aquatics,0,0,0,0,1993,23
5846,Kristian Ipsen,USA,male,1992-10-20,1.71,72.0,aquatics,0,0,0,0,1992,24
5847,Kristian Karlsson,SWE,male,1991-08-06,1.83,82.0,table tennis,0,0,0,0,1991,25
5848,Kristian Ruth,NOR,male,1985-07-23,1.815,80.0,sailing,0,0,0,0,1985,31
5849,Kristian Thomas,GBR,male,1989-02-14,1.8,78.0,gymnastics,0,0,0,0,1989,27
5850,Kristian Vasilev,BUL,male,1991-11-18,1.97,97.0,rowing,0,0,0,0,1991,25
5851,Kristiina Makela,FIN,female,1992-11-20,1.85,68.0,athletics,0,0,0,0,1992,24
5852,Kristijan Durasek,CRO,male,1987-07-26,1.7,57.0,cycling,0,0,0,0,1987,29
5853,Kristin Armstrong,USA,female,1973-08-11,1.73,58.0,cycling,1,0,0,1,1973,43
5854,Kristin Gierisch,GER,female,1990-08-20,1.78,61.0,athletics,0,0,0,0,1990,26
5855,Kristina Broring-Sprehe,GER,female,1986-10-28,1.68,54.0,equestrian,1,0,1,2,1986,30
5856,Kristina Cook,GBR,female,1970-08-31,1.78,68.0,equestrian,0,0,0,0,1970,46
5857,Kristina Gavnholt,CZE,female,1988-09-12,1.77,73.0,badminton,0,0,0,0,1988,28
5858,Kristina Ilinykh,RUS,female,1994-11-27,1.73,56.0,aquatics,0,0,0,0,1994,22
5859,Kristina Kuusk,EST,female,1985-11-16,1.8,74.0,fencing,0,0,0,0,1985,31
5860,Kristina Mladenovic,FRA,female,1993-05-14,1.84,66.0,tennis,0,0,0,0,1993,23
5861,Kristina Pronzhenko,TJK,female,1988-12-10,1.72,60.0,athletics,0,0,0,0,1988,28
5862,Kristina Reynolds,GER,female,1984-02-18,1.81,71.0,hockey,0,0,1,1,1984,32
5863,Kristina Valjas,CAN,female,1987-06-02,1.88,68.0,volleyball,0,0,0,0,1987,29
5864,Kristina Vogel,GER,female,1990-11-10,1.6,66.0,cycling,1,0,1,2,1990,26
5865,Kristine Esebua,GEO,female,1985-03-19,1.62,69.0,archery,0,0,0,0,1985,31
5866,Kristof Rasovszky,HUN,male,1997-03-27,1.9,84.0,aquatics,0,0,0,0,1997,19
5867,Kristoffer Brun,NOR,male,1988-04-07,1.7999999999999998,70.0,rowing,0,0,1,1,1988,28
5868,Kristy Oatley,AUS,female,1978-07-18,1.7,56.0,equestrian,0,0,0,0,1978,38
5869,Kristyna Fleissnerova,CZE,female,1992-08-18,1.73,64.0,rowing,0,0,0,0,1992,24
5870,Krisztian Manhercz,HUN,male,1997-02-06,1.91,91.0,aquatics,0,0,0,0,1997,19
5871,Krisztian Pars,HUN,male,1982-02-18,1.88,116.0,athletics,0,0,0,0,1982,34
5872,Krisztian Takacs,HUN,male,1985-12-30,1.86,84.0,aquatics,0,0,0,0,1985,31
5873,Krisztian Toth,HUN,male,1994-05-01,1.75,93.0,judo,0,0,0,0,1994,22
5874,Krisztina Fazekas-Zur,HUN,female,1980-08-01,1.72,64.0,canoe,1,0,0,1,1980,36
5875,Krisztina Garda,HUN,female,1994-07-16,1.7,76.0,aquatics,0,0,0,0,1994,22
5876,Krisztina Papp,HUN,female,1982-12-17,1.73,53.0,athletics,0,0,0,0,1982,34
5877,Krunoslav Simon,CRO,male,1985-06-24,1.97,100.0,basketball,0,0,0,0,1985,31
5878,Krystian Aranowski,POL,male,1988-04-11,1.98,102.0,rowing,0,0,0,0,1988,28
5879,Krystian Zalewski,POL,male,1989-04-11,1.85,68.0,athletics,0,0,0,0,1989,27
5880,Krzysztof Lijewski,POL,male,1983-07-07,1.99,99.0,handball,0,0,0,0,1983,33
5881,Krzysztof Maksel,POL,male,1991-07-04,1.81,80.0,cycling,0,0,0,0,1991,25
5882,Ksenia Chibisova,RUS,female,1988-07-13,1.86,78.0,judo,0,0,0,0,1988,28
5883,Ksenia Perova,RUS,female,1989-02-08,1.69,77.0,archery,0,1,0,1,1989,27
5884,Ksenija Balta,EST,female,1986-11-01,1.69,51.0,athletics,0,0,0,0,1986,30
5885,Kseniya Moustafaeva,FRA,female,1995-06-08,1.63,50.0,gymnastics,0,0,0,0,1995,21
5886,Kseniya Pantelyeyeva,UKR,female,1994-05-11,1.68,75.0,fencing,0,0,0,0,1994,22
5887,Kseniya Sydorenko,UKR,female,1986-07-02,1.78,57.0,aquatics,0,0,0,0,1986,30
5888,Kudakwashe Basopo,ZIM,female,1990-07-18,1.62,60.0,football,0,0,0,0,1990,26
5889,Kuk Hyang Kim,PRK,female,1993-04-20,1.7,100.0,weightlifting,0,1,0,1,1993,23
5890,Kuk Hyang Kim,PRK,female,1999-04-04,1.49,39.0,aquatics,0,0,0,0,1999,17
5891,Kuk Hyon Hong,PRK,male,1990-07-01,1.79,73.0,judo,0,0,0,0,1990,26
5892,Kukyoung Kim,KOR,male,1991-04-19,1.76,73.0,athletics,0,0,0,0,1991,25
5893,Kum-Ok Kim,PRK,female,1988-12-09,1.61,48.0,athletics,0,0,0,0,1988,28
5894,Kumari Babita,IND,female,1989-11-20,1.65,52.0,wrestling,0,0,0,0,1989,27
5895,Kumiko Okada,JPN,female,1991-10-17,1.58,47.0,athletics,0,0,0,0,1991,25
5896,Kun-Pi Yang,TPE,male,1998-08-11,1.86,107.0,shooting,0,0,0,0,1998,18
5897,Kunathip Yea-On,THA,male,1995-08-18,1.93,148.0,judo,0,0,0,0,1995,21
5898,Kunhu Muhammed Puthanpurakkal,IND,male,1987-03-05,1.72,70.0,athletics,0,0,0,0,1987,29
5899,Kuniaki Takizaki,CAM,male,1977-08-08,1.51,55.0,athletics,0,0,0,0,1977,39
5900,Kurt Couto,MOZ,male,1985-05-14,1.8,74.0,athletics,0,0,0,0,1985,31
5901,Kurt Felix,GRN,male,1988-07-04,1.82,76.0,athletics,0,0,0,0,1988,28
5902,Kurtis Marschall,AUS,male,1997-04-25,1.87,78.0,athletics,0,0,0,0,1997,19
5903,Kurumi Yoshida,JPN,female,1991-12-01,1.67,59.0,aquatics,0,0,1,1,1991,25
5904,Kwagga Smith,RSA,male,1993-06-11,1.8,90.0,rugby sevens,0,0,1,1,1993,23
5905,Kwan Kit Ho,HKG,male,1997-04-20,1.78,66.0,table tennis,0,0,0,0,1997,19
